material_id,exp,mp,diff
mp-998552,-3.797821,-3.795748,-0.002073
mp-30522,-0.6187,-0.616531,-0.002169
mp-540703,-1.182394,-1.180182,-0.002212
mp-10905,-1.0001,-0.997762,-0.002338
mp-990,-0.8768,-0.874194,-0.002606
mp-1180742,-0.979769,-0.977141,-0.002628
mp-13094,-0.6509,-0.648214,-0.002686
mp-1281224,-1.996267,-1.993446,-0.002821
mp-259,-0.2311,-0.228163,-0.002937
mp-755060,-1.196728,-1.193505,-0.003223
mp-2801,-0.1534,-0.150036,-0.003364
mp-1603,-0.5027,-0.49921,-0.00349
mp-13686,-0.6695,-0.665963,-0.003537
mp-12569,-0.5503,-0.546724,-0.003576
mp-980094,-0.5524,-0.548793,-0.003607
mp-607,-0.2892,-0.285562,-0.003638
mp-1111,-0.3524,-0.348499,-0.003901
mp-4492,-0.4394,-0.435401,-0.003999
mp-36866,-2.841039,-2.836767,-0.004272
mp-672261,-0.204104,-0.199622,-0.004482
mp-480,-1.1173,-1.112673,-0.004627
mp-30671,-0.4042,-0.399038,-0.005162
